##AGRICULTURE;AGRICULTURE;;;;;;;;;;;;;;x
#CEREALS;CEREALES;;;;;;;;;;;;;;x
CA_AGRI_cereale_L1;Cereals: Land Clearance;CEREALES : Plaine Défrichée;;;;;;;;;;;;x
CA_AGRI_cereale_L1_desc;This land has been cleared and prepared for the large-scale cultivation of cereals.;Ce terrain a été défriché et devrait bientôt pouvoir produire des céréales. \nDévelopper cette chaîne interdira de développer la production de §BFruits§!.;;;;;;;;;;;x
CA_AGRI_cereale_L2;Cereals: Cultivated Fields;CEREALES : Champs Cultivés;;;;;;;;;;;;x
CA_AGRI_cereale_L2_desc;This land supports the large-scale cultivation of multiple crops of cereals according to the rhythm of the seasons.;Ce terrain comporte maintenant plusieurs champs cultivés où se succèdent différents assolements triennaux céréaliers aux rythmes des saisons.;;;;;;;;;;;;x
CA_AGRI_cereale_L3;Cereals: Farming Estates;CEREALES : Exploitation Agricole;;;;;;;;;;;;x
CA_AGRI_cereale_L3_desc;The local lord holds authority over multiple estates upon which thousands of peasants toil to cultivate a vast surplus of cereals.;Ce qui était naguère un tas de broussailles est maintenant une exploitation agricole où la culture du blé et du froment sont menées de main de maître.;;;;;;;;;;;;x
CT_AGRI_cereale_L1;Cereals: Land Clearance;CEREALES : Plaine Défrichée;;;;;;;;;;;;x
CT_AGRI_cereale_L1_desc;This land has been cleared and prepared for the large-scale cultivation of cereals.;Ce terrain a été défriché et devrait bientôt pouvoir produire des céréales.;;;;;;;;;;;x
CT_AGRI_cereale_L2;Cereals: Cultivated Fields;CEREALES : Champs Cultivés;;;;;;;;;;;;x
CT_AGRI_cereale_L2_desc;This land supports the large-scale cultivation of multiple crops of cereals according to the rhythm of the seasons.;Ce terrain comporte maintenant plusieurs champs cultivés où se succèdent les assolements triennaux céréaliers au fil des saisons.;;;;;;;;;;;;x
CT_AGRI_cereale_L3;Cereals: Farming Estates;CEREALES : Exploitation Agricole;;;;;;;;;;;;x
CT_AGRI_cereale_L3_desc;The local communal government holds authority over multiple estates upon which laborers toil to cultivate a vast surplus of cereals.;Ce qui était naguère un tas de broussailles est maintenant une exploitation agricole où la culture de la céréale est menée de main de maître.;;;;;;;;;;;;x
TP_AGRI_cereale_L1;Cereals: Land Clearance;CEREALES : Plaine Défrichée;;;;;;;;;;;;x
TP_AGRI_cereale_L1_desc;This land has been cleared and prepared for the large-scale cultivation of cereals.;Ce terrain a été défriché et devrait bientôt pouvoir produire des céréales.;;;;;;;;;;;x
TP_AGRI_cereale_L2;Cereals: Cultivated Fields;CEREALES : Champs Cultivés;;;;;;;;;;;;x
TP_AGRI_cereale_L2_desc;This land supports the large-scale cultivation of multiple crops of cereals according to the rhythm of the seasons.;Ce terrain comporte maintenant plusieurs champs cultivés où se succèdent les assolements triennaux céréaliers au fil des saisons.;;;;;;;;;;;;x
TP_AGRI_cereale_L3;Cereals: Farming Estates;CEREALES : Exploitation Agricole;;;;;;;;;;;;x
TP_AGRI_cereale_L3_desc;The local communal government holds authority over multiple estates upon which laborers toil to cultivate a vast surplus of cereals.;Ce qui était naguère un tas de broussailles est maintenant une exploitation agricole où la culture de la céréale est menée de main de maître.;;;;;;;;;;;;x
#OCHARDS;VERGERS;;;;;;;;;;;;;;x
CA_AGRI_verger_L1;Fruits: Small Orchards;FRUITS : Vergers Épars;;;;;;;;;;;;x
CA_AGRI_verger_L1_desc;Small orchards tended to by a few dozen workers dot the countryside, but more fertile land is available for  large-scale cultivation.; \nDévelopper cette chaîne interdira de développer la production de §BCéréales§!.;;;;;;;;;;;;x
CA_AGRI_verger_L2;Fruits: Large Orchards;FRUITS : Grands Vergers;;;;;;;;;;;;x
CA_AGRI_verger_L2_desc;Through considerable investments in expanding the scale of production, large orchards now span the many hills and fields of this province.;;;;;;;;;;;;x
CA_AGRI_verger_L3;Fruits: Seigneurial Orchards;FRUITS : Vergers Seigneuriaux;;;;;;;;;;;x
CA_AGRI_verger_L3_desc;The local lord has taken control over the majority of the fruit orchards in this province and expanded them further. Thousands of peasants now toil in the groves harvesting fruit from trees bending under their own weight to send to market.;Les vergers couvrent à présent une bonne partie des coteaux et les arbres plient sous le poids de leurs fruits abondants.;;;;;;;;;;;;x
CT_AGRI_verger_L1;Fruits: Small Orchards;FRUITS : Vergers épars;;;;;;;;;;;;x
CT_AGRI_verger_L1_desc;Small orchards tended to by a few dozen workers dot the countryside, but more fertile land is available for  large-scale cultivation.;;;;;;;;;;;;;x
CT_AGRI_verger_L2;Fruits: Large Orchards;FRUITS : Grands vergers;;;;;;;;;;;;x
CT_AGRI_verger_L2_desc;Through considerable investments in expanding the scale of production, large orchards now span the many hills and fields of this province.;;;;;;;;;;;;x
CT_AGRI_verger_L3;Fruits: Communal Orchards;FRUITS : Vergers Communaux;;;;;;;;;;;x
CT_AGRI_verger_L3_desc;The communal government has expanded the majority of the fruit orchards in this province. Thousands of laborers now toil in the groves harvesting fruit from trees bending under their own weight to send to market.;Les vergers couvrent à présent une bonne partie des coteaux et les arbres plient sous le poids de leurs fruits abondants.;;;;;;;;;;;;x
TP_AGRI_verger_L1;Fruits: Small Orchards;FRUITS : Vergers épars;;;;;;;;;;;;x
TP_AGRI_verger_L1_desc;Small orchards tended by a few workers dot the countryside, but more fertile land is available for larger-scale cultivation.;;;;;;;;;;;;;x
TP_AGRI_verger_L2;Fruits: Large Orchards;FRUITS : Grands vergers;;;;;;;;;;;;x
TP_AGRI_verger_L2_desc;Through considerable investments in expanding the scale of production, large orchards now span the many hills and fields of this demesne.;;;;;;;;;;;;x
TP_AGRI_verger_L3;Fruits: Abbey's Orchards;FRUITS : Vergers de l'Abbaye;;;;;;;;;;;;x
TP_AGRI_verger_L3_desc;The expanded fruit orchards now hires lots of laborers whom now toil in the groves harvesting fruit from trees bending under their own weight to send to market.;Les vergers couvrent à présent une bonne partie des coteaux. Les arbres pliant sous le poids de leurs fruits abondants, nécessitent les soins de nombres d'hommes et de femmes.;;;;;;;;;;;;x
#VEGETABLES;MARAICHAGE;;;;;;;;;;;;;;x
TP_AGRI_maraichage_L1;Vegetables: Vegetable Garden;MARAICHAGE : Potagers;;;;;;;;;;;;x
TP_AGRI_maraichage_L1_desc;;;;;;;;;;;;;;x
TP_AGRI_maraichage_L2;Vegetables: Vegetable Farm;MARAICHAGE : Ferme Maraîchère;;;;;;;;;;;;x
TP_AGRI_maraichage_L2_desc;;;;;;;;;;;;;;x
TP_AGRI_maraichage_L3;Vegetables: Crop Rotation;MARAICHAGE : Exploitation Maraîchère;;;;;;;;;;;;x
TP_AGRI_maraichage_L3_desc;;;;;;;;;;;;;;x
#VINES;VIGNES;;;;;;;;;;;;;;x
TP_AGRI_vigne_L1;Vineyards: Parcelled Land;VIGNE : Parcelles;;;;;;;;;;;;x
TP_AGRI_vigne_L1_desc;;;;;;;;;;;;;;x
TP_AGRI_vigne_L2;Vineyards: Modest Vineyards;VIGNE : Vignobles;;;;;;;;;;;;x
TP_AGRI_vigne_L2_desc;;;;;;;;;;;;;;x
TP_AGRI_vigne_L3;Vineyards: Expanded Vineyards;VIGNE : Domaine viticole;;;;;;;;;;;;x
TP_AGRI_vigne_L3_desc;;;;;;;;;;;;;;x
#FLOUR;FARINE;;;;;;;;;;;;;;x
CA_AGRI_moulin_L1;Flour: Horse Mill;FARINE : Meule de pierre;;;;;;;;;;;;x
CA_AGRI_moulin_L1_desc;;;;;;;;;;;;;;x
CA_AGRI_moulin_L2;Flour: Windmill;FARINE : Moulin à vent;;;;;;;;;;;;x
CA_AGRI_moulin_L2_desc;;;;;;;;;;;;;;x
CA_AGRI_moulin_L3;Flour: Great windmill;FARINE : Grand Moulin;;;;;;;;;;;;x
CA_AGRI_moulin_L3_desc;;;;;;;;;;;;;;x
CT_AGRI_moulin_L1;Flour: Water-powered Mill;FARINE : Moulin à aubes;;;;;;;;;;;;x
CT_AGRI_moulin_L1_desc;A modest watermill placed along the bank of the river.;Un modeste moulin à eau placé le long de la rive.;;;;;;;;;;;;x
CT_AGRI_moulin_L2;Flour: Waterwheel Mill;FARINE : Moulin à noria;;;;;;;;;;;;x
CT_AGRI_moulin_L2_desc;The watermill makes use of a massive wheel which serves to turn the grindstone ;Le moulin à eau est ici doté d'une immense roue appelée noria, bien plus efficace.;;;;;;;;;;;;x
CT_AGRI_moulin_L3;Flour: Modest Urban Mill;FARINE : Grand moulin citadin;;;;;;;;;;;;x
CT_AGRI_moulin_L3_desc;The construction of a small canal to assure a regular flow of water to power the mill has increased its production.;L'installation au bord la rivière est ici alimentée par un petit canal dédié qui assure un débit régulier et ainsi une bien meilleure production.;;;;;;;;;;;;x
CT_AGRI_moulin_L4;Flour: Expanded Urban Mill;FARINE : Grands moulins urbains;;;;;;;;;;;;x
CT_AGRI_moulin_L4_desc;The recent installations have expanded the mill in size and capacity, allowing the mill to produce flour in large quantities.;Les installations ici sont de taille et produisent une bonne farine en quantité.;;;;;;;;;;;;x
CT_AGRI_moulin_L5;Flour: Great Urban Mill;FARINE: Grands moulins;;;;;;;;;;;;x
CT_AGRI_moulin_L5_desc;This massive mill makes use of multiple wheels, and dedicated canal, and a sizeable workforce to produce an extremely fine flour, used only in the best bakeries in the city.;Le bâtiments massif qui accueille les moulins est alimenté par un canal dédié et équipé de grandes roues. La farine produite est très fine et très blanche.\n Elle fait le bonheur des maîtres boulangers et la fierté de la cité.;;;;;;;;;;;;x
TP_AGRI_moulin_L1;Flour: Water-powered Mill;FARINE : Moulin à aubes;;;;;;;;;;;;x
TP_AGRI_moulin_L1_desc;A modest watermill placed along the bank of the river.;Un modeste moulin à eau placé le long de la rive.;;;;;;;;;;;;x
TP_AGRI_moulin_L2;Flour: Waterwheel Mill;FARINE : Moulin à noria;;;;;;;;;;;;x
TP_AGRI_moulin_L2_desc;The watermill makes use of a massive wheel which serves to turn the grindstone ;Le moulin à eau est ici doté d'une immense roue appelée noria, bien plus efficace.;;;;;;;;;;;;x
TP_AGRI_moulin_L3;Flour: Communal Mill;FARINE : Grand moulin citadin;;;;;;;;;;;;x
TP_AGRI_moulin_L3_desc;The construction of a small canal to assure a regular flow of water to power the mill has increased its production.;L'installation au bord la rivière est ici alimentée par un petit canal dédié qui assure un débit régulier et ainsi une bien meilleure production.;;;;;;;;;;;;x
#BREAD;PAIN;;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L1;Bread: Clay Kiln;PAIN : Four commun;;;;;;;;;;;;x
CA_AGRI_boulangerie_L2;Bread: Bakery;PAIN : Four en pierre;;;;;;;;;;;;x
CA_AGRI_boulangerie_L3;Bread: Bakers' Guild;PAIN : Boulanger;;;;;;;;;;;;x
CA_AGRI_boulangerie_desc;;;;;;;;;;;;;;x
CT_AGRI_boulangerie_L1;Bread: Bakers' Shops;PAIN : Four commun;;;;;;;;;;;;x
CT_AGRI_boulangerie_L2;Bread: Baker's Street;PAIN : Four en pierre;;;;;;;;;;;;x
CT_AGRI_boulangerie_L3;Bread: Baker's Guild;PAIN : Boulanger;;;;;;;;;;;;x
CT_AGRI_boulangerie_desc;;;;;;;;;;;;;;x
TP_AGRI_boulangerie_L1;Bread: Bakers' Shops;PAIN : Four commun;;;;;;;;;;;;x
TP_AGRI_boulangerie_L2;Bread: Baker's Street;PAIN : Four en pierre;;;;;;;;;;;;x
TP_AGRI_boulangerie_L3;Bread: Baker's Guild;PAIN : Boulanger;;;;;;;;;;;;x
TP_AGRI_boulangerie_desc;;;;;;;;;;;;;;x
#BANALITIES;BANALITES;;;;;;;;;;;;;;x
CA_AGRI_banal_moulin_L1;BANALITE: Local mill;BANALITE : Moulin local;;;;;;;;;;;;x
CA_AGRI_banal_moulin_L2;BANALITE: Seigneurial mill;BANALITE : Moulin seigneurial;;;;;;;;;;;;x
CA_AGRI_banal_moulin_desc;The §YMill§!is owned by the local lord or his liege. \nSo to grind §GFlour§!, villagers are forced touse this building made available by their lord and they must pay a tax for that.;Le §YMoulin§! appartient au seigneur local ou son lige. \nAfin de produire de la §GFarine§!, les villageois ont pour obligation d'utiliser ce bâtiment mis à disposition par leur seigneur et doivent s'acquitter d'une taxe pour cela.;;;;;;;;;;;;x
CA_AGRI_banal_four_L1;BANALITE: Local oven;BANALITE : Four local;;;;;;;;;;;;x
CA_AGRI_banal_four_L2;BANALITE: Seigneurial oven;BANALITE : Four seigneurial;;;;;;;;;;;;x
CA_AGRI_banal_four_desc;The §YOven§!is owned by the local lord or his liege. \nSo to bake §GBread§!, villagers are forced touse this building made available by their lord and they must pay a tax for that.;Le §YFour§! appartient au seigneur local ou son lige. \nAfin de cuire le §GPain§!, les villageois ont pour obligation d'utiliser ce bâtiment mis à disposition par leur seigneur et doivent s'acquitter de la taxe de fournage pour cela.;;;;;;;;;;;;x
CA_ELEVAGE_banal_toretver_L1;BANALITE: Tor et ver;BANALITE : Tor et ver;;;;;;;;;;;;x
CA_ELEVAGE_banal_toretver_desc;The §YTor et ver§! banalité means that only the lord had the right to own a bull or a boar. \nThe deliberate mating of cattle or pigs incurres fines.;La banalité de §YTor et ver§! donne au seul seigneur le droit de posséder un toaureau ou un verrat. \nLes saillies de ces animaux sont sujettes à redevance. ;;;;;;;;;;;;x
#WINE;VIN;;;;;;;;;;;;;;x
TP_chai_L1;Wine: Cultivated Vineyards;VIN : Chai Modeste;;;;;;;;;;;;x;
TP_chai_L1_desc;;;;;;;;;;;;;;x;
TP_chai_L2;Wine: Modest Winery;VIN : Chai Agrandi;;;;;;;;;;;;x;
TP_chai_L2_desc;;;;;;;;;;;;;;x;
TP_chai_L3;Wine: Expanded Winery;VIN : Grand Chai;;;;;;;;;;;;x;
TP_chai_L3_desc;;;;;;;;;;;;;;x;
TP_chai_L4;Wine: Reputable Winery;VIN : Chai Réputé;;;;;;;;;;;;x;
TP_chai_L4_desc;;;;;;;;;;;;;;x;
TP_chai_L5;Wine: Famed Winery;VIN : Chai de Haute Renommée;;;;;;;;;;;;x;
TP_chai_L5_desc;;;;;;;;;;;;;;x;
#BEER;BIERE;;;;;;;;;;;;;;x
CT_brasserie_L1;Beer: Cultivated Hops;BIERE : Brasserie Modeste;;;;;;;;;;;;x;
CT_brasserie_L1_desc;;;;;;;;;;;;;;x;
CT_brasserie_L2;Beer: Modest Brewery;BIERE : Brasserie Agrandie;;;;;;;;;;;;x;
CT_brasserie_L2_desc;;;;;;;;;;;;;;x;
CT_brasserie_L3;Beer: Expanded Brewery;BIERE : Grande Brasserie;;;;;;;;;;;;x;
CT_brasserie_L3_desc;;;;;;;;;;;;;;x;
CT_brasserie_L4;Beer: Reputable Brewery;BIERE : Brasserie Réputée;;;;;;;;;;;;x;
CT_brasserie_L4_desc;;;;;;;;;;;;;;x;
CT_brasserie_L5;Beer: Famed Brewery;BIERE : Brasserie de Haute Renommée;;;;;;;;;;;;x;
CT_brasserie_L5_desc;;;;;;;;;;;;;;x;
TP_brasserie_L1;Beer: Cultivated Hops;BIERE : Brasserie Modeste;;;;;;;;;;;;x;
TP_brasserie_L1_desc;;;;;;;;;;;;;;x;
TP_brasserie_L2;Beer: Modest Brewery;BIERE : Brasserie Agrandie;;;;;;;;;;;;x;
TP_brasserie_L2_desc;;;;;;;;;;;;;;x;
TP_brasserie_L3;Beer: Expanded Brewery;BIERE : Grande Brasserie;;;;;;;;;;;;x;
TP_brasserie_L3_desc;;;;;;;;;;;;;;x;
TP_brasserie_L4;Beer: Reputable Brewery;BIERE : Brasserie Réputée;;;;;;;;;;;;x;
TP_brasserie_L4_desc;;;;;;;;;;;;;;x;
TP_brasserie_L5;Beer: Famed Brewery;BIERE : Brasserie de Haute Renommée;;;;;;;;;;;;x;
TP_brasserie_L5_desc;;;;;;;;;;;;;;x;